,Img_ID_x,Value
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.30.46.ims,0.6617576487212202
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.29.56.ims,0.6629792084608933
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.30.21.ims,0.6608743887371004
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.30.08.ims,0.6612771616944404
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.29.43.ims,0.6618167879696558
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.29.30.ims,0.6621581518703537
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.30.34.ims,0.6623103292716558
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.32.52.ims,0.8398363437584044
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.31.35.ims,0.6773162227145022
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.32.26.ims,0.9937876121657959
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.31.22.ims,0.6672461322650435
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.32.01.ims,0.731140942598968
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.32.39.ims,0.8467205003263593
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.31.48.ims,0.6871195094888823
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.31.09.ims,0.6635925953483974
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.32.13.ims,1.0
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.33.05.ims,0.8337171945799896
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.33.17.ims,0.8272502347083376
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.33.30.ims,0.8309751425110499
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.33.43.ims,0.8169887397558596
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.33.55.ims,0.8156963737041395
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.34.08.ims,0.8095803140934886
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.43.34.ims,0.03822863627941798
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.43.47.ims,0.04274966296018433
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.43.21.ims,0.037302545384261705
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.44.00.ims,0.13523452982783082
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.44.13.ims,1.0
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.43.08.ims,0.03717436935305945
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.44.39.ims,0.28494189845954715
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.45.04.ims,0.034560291880932036
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.45.17.ims,0.02936969405734036
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.45.30.ims,0.028698657805773638
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.44.51.ims,0.04975895289610067
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.44.25.ims,0.9079341222335423
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.45.42.ims,0.028687351266130326
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.45.55.ims,0.02855002440102553
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.46.44.ims,0.03521122077254802
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.47.35.ims,0.03467597103518772
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.46.08.ims,0.028466418163189285
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.47.23.ims,0.034902189690318365
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.46.31.ims,0.035373263131136604
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.46.57.ims,0.03503339727866529
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.47.10.ims,0.034868375956681415
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.49.30.ims,0.03325981447428271
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.48.52.ims,0.03376231740541221
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.48.01.ims,0.0343630191666969
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.48.14.ims,0.03431247455991946
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.48.39.ims,0.03399705945779401
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.47.48.ims,0.03442825272121053
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.49.18.ims,0.03346367460546863
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.49.05.ims,0.0335770725307667
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.48.26.ims,0.03411025209202413
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.59.20.ims,0.8025256482541352
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.58.54.ims,0.07944287889662938
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.58.27.ims,0.05220147156563367
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.58.41.ims,0.055282275952085715
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.59.07.ims,1.0
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.00.11.ims,0.04560183657298899
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.00.49.ims,0.04403940116632975
