fusionrest.py - 2024-04-03 13:57:17,515 - INFO - This log message is from DragonFlyWellPlateAutomation.RestAPI.fusionrest
micrscope.py - 2024-04-03 13:57:17,584 - INFO - Updated referencezposition from 447.42 to 442.42
micrscope.py - 2024-04-03 13:57:17,584 - INFO - Current Z: 442.42
micrscope.py - 2024-04-03 13:57:17,587 - INFO - Current Z: 442.42
micrscope.py - 2024-04-03 13:57:17,587 - INFO - Moving z axis
micrscope.py - 2024-04-03 13:57:17,587 - INFO - Current Z: 442.42
micrscope.py - 2024-04-03 13:57:17,587 - INFO - Updated referencezposition from 442.42 to 437.42
micrscope.py - 2024-04-03 13:57:17,587 - INFO - Current Z: 437.42
micrscope.py - 2024-04-03 13:57:17,589 - INFO - Moving z axis
micrscope.py - 2024-04-03 13:57:17,589 - INFO - Current Z: 437.42
micrscope.py - 2024-04-03 13:57:17,589 - INFO - Updated referencezposition from 437.42 to 487.42
micrscope.py - 2024-04-03 13:57:17,589 - INFO - Current Z: 487.42
protocol.py - 2024-04-03 13:57:17,589 - INFO - Z stack done for well 1-1
protocol.py - 2024-04-03 13:57:17,589 - INFO - The affected images are: ['rawtake_n1_well1-1_zheigth492.ims', 'rawtake_n2_well1-1_zheigth497.ims', 'rawtake_n3_well1-1_zheigth502.ims', 'rawtake_n4_well1-1_zheigth507.ims', 'rawtake_n5_well1-1_zheigth512.ims', 'rawtake_n6_well1-1_zheigth517.ims', 'rawtake_n7_well1-1_zheigth522.ims', 'rawtake_n8_well1-1_zheigth527.ims', 'rawtake_n9_well1-1_zheigth532.ims', 'rawtake_n10_well1-1_zheigth537.ims', 'rawtake_n1_well1-1_zheigth482.ims', 'rawtake_n2_well1-1_zheigth477.ims', 'rawtake_n3_well1-1_zheigth472.ims', 'rawtake_n4_well1-1_zheigth467.ims', 'rawtake_n5_well1-1_zheigth462.ims', 'rawtake_n6_well1-1_zheigth457.ims', 'rawtake_n7_well1-1_zheigth452.ims', 'rawtake_n8_well1-1_zheigth447.ims', 'rawtake_n9_well1-1_zheigth442.ims', 'rawtake_n10_well1-1_zheigth437.ims']
protocol.py - 2024-04-03 13:57:17,752 - INFO - Image quality metric applied to all z-stack images
micrscope.py - 2024-04-03 13:57:17,753 - INFO - Moving z axis
micrscope.py - 2024-04-03 13:57:17,754 - INFO - Current Z: 487.42
micrscope.py - 2024-04-03 13:57:17,754 - INFO - Updated referencezposition from 487.42 to 492
micrscope.py - 2024-04-03 13:57:17,754 - INFO - Current Z: 492
protocol.py - 2024-04-03 13:57:17,754 - INFO - Autofocus ended for well 1-1 with elapsed time: 0.2145836353302002
